[2025-05-08T19:15:27.329+0300][0.001s][info][gc] Using G1
[2025-05-08T19:15:27.330+0300][0.001s][debug][gc] ConcGCThreads: 3 offset 29
[2025-05-08T19:15:27.330+0300][0.001s][debug][gc] ParallelGCThreads: 13
[2025-05-08T19:15:27.330+0300][0.001s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2025-05-08T19:15:27.528+0300][0,200s][info ][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 52M->3M(1024M) 2,732ms
[2025-05-08T19:15:27.613+0300][0,284s][info ][gc] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 80M->3M(1024M) 2,114ms
[2025-05-08T19:15:28.269+0300][0,941s][info ][gc] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 2,284ms
[2025-05-08T19:15:28.926+0300][1,598s][info ][gc] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,697ms
[2025-05-08T19:15:29.595+0300][2,266s][info ][gc] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,822ms
[2025-05-08T19:15:30.265+0300][2,936s][info ][gc] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 614M->4M(1024M) 0,980ms
[2025-05-08T19:15:30.934+0300][3,605s][info ][gc] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,916ms
[2025-05-08T19:15:31.605+0300][4,276s][info ][gc] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,809ms
[2025-05-08T19:15:32.280+0300][4,952s][info ][gc] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,828ms
[2025-05-08T19:15:32.944+0300][5,616s][info ][gc] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,722ms
[2025-05-08T19:15:33.609+0300][6,281s][info ][gc] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,740ms
[2025-05-08T19:15:34.276+0300][6,948s][info ][gc] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 614M->2M(1024M) 0,715ms
[2025-05-08T19:15:34.942+0300][7,614s][info ][gc] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,721ms
[2025-05-08T19:15:35.604+0300][8,276s][info ][gc] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 614M->2M(1024M) 0,711ms
[2025-05-08T19:15:36.269+0300][8,941s][info ][gc] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 614M->2M(1024M) 0,677ms
[2025-05-08T19:15:36.933+0300][9,605s][info ][gc] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 1,833ms
[2025-05-08T19:15:37.601+0300][10,273s][info ][gc] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 616M->3M(1024M) 0,680ms
[2025-05-08T19:15:38.270+0300][10,942s][info ][gc] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 616M->3M(1024M) 0,695ms
