[2025-05-08T17:24:57.046+0300][0.001s][info][gc] Using G1
[2025-05-08T17:24:57.046+0300][0.002s][debug][gc] ConcGCThreads: 3 offset 29
[2025-05-08T17:24:57.046+0300][0.002s][debug][gc] ParallelGCThreads: 13
[2025-05-08T17:24:57.046+0300][0.002s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2025-05-08T17:25:03.083+0300][6,039s][info ][gc] GC(40) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,662ms
[2025-05-08T17:25:03.235+0300][6,190s][info ][gc] GC(41) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,521ms
[2025-05-08T17:25:03.386+0300][6,342s][info ][gc] GC(42) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 1,120ms
[2025-05-08T17:25:03.537+0300][6,492s][info ][gc] GC(43) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,687ms
[2025-05-08T17:25:03.688+0300][6,643s][info ][gc] GC(44) Pause Young (Normal) (G1 Evacuation Pause) 310M->4M(512M) 0,745ms
[2025-05-08T17:25:03.839+0300][6,794s][info ][gc] GC(45) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,642ms
[2025-05-08T17:25:03.990+0300][6,945s][info ][gc] GC(46) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,563ms
[2025-05-08T17:25:04.141+0300][7,096s][info ][gc] GC(47) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 1,001ms
[2025-05-08T17:25:04.291+0300][7,247s][info ][gc] GC(48) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,848ms
[2025-05-08T17:25:04.442+0300][7,397s][info ][gc] GC(49) Pause Young (Normal) (G1 Evacuation Pause) 310M->4M(512M) 0,878ms
[2025-05-08T17:25:04.593+0300][7,548s][info ][gc] GC(50) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,554ms
[2025-05-08T17:25:04.744+0300][7,699s][info ][gc] GC(51) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,466ms
[2025-05-08T17:25:04.895+0300][7,851s][info ][gc] GC(52) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 1,086ms
[2025-05-08T17:25:05.046+0300][8,001s][info ][gc] GC(53) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,866ms
[2025-05-08T17:25:05.196+0300][8,152s][info ][gc] GC(54) Pause Young (Normal) (G1 Evacuation Pause) 310M->4M(512M) 0,859ms
[2025-05-08T17:25:05.347+0300][8,303s][info ][gc] GC(55) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,695ms
[2025-05-08T17:25:05.499+0300][8,454s][info ][gc] GC(56) Pause Young (Normal) (G1 Evacuation Pause) 309M->6M(512M) 1,159ms
[2025-05-08T17:25:05.649+0300][8,604s][info ][gc] GC(57) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 1,020ms
