[2025-05-08T19:11:47.254+0300][0.001s][info][gc] Using G1
[2025-05-08T19:11:47.255+0300][0.001s][debug][gc] ConcGCThreads: 3 offset 29
[2025-05-08T19:11:47.255+0300][0.001s][debug][gc] ParallelGCThreads: 13
[2025-05-08T19:11:47.255+0300][0.001s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2025-05-08T19:11:47.424+0300][0,171s][info ][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 52M->3M(1024M) 2,672ms
[2025-05-08T19:11:47.465+0300][0,212s][info ][gc] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 81M->5M(1024M) 2,131ms
[2025-05-08T19:11:47.781+0300][0,527s][info ][gc] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 614M->4M(1024M) 2,550ms
[2025-05-08T19:11:48.062+0300][0,809s][info ][gc] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 614M->6M(1024M) 1,442ms
[2025-05-08T19:11:48.340+0300][1,087s][info ][gc] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 615M->4M(1024M) 1,010ms
[2025-05-08T19:11:48.622+0300][1,369s][info ][gc] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,762ms
[2025-05-08T19:11:48.901+0300][1,648s][info ][gc] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 614M->5M(1024M) 1,187ms
[2025-05-08T19:11:49.174+0300][1,920s][info ][gc] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 1,001ms
[2025-05-08T19:11:49.444+0300][2,190s][info ][gc] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 614M->5M(1024M) 1,244ms
[2025-05-08T19:11:49.713+0300][2,460s][info ][gc] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 614M->4M(1024M) 0,849ms
[2025-05-08T19:11:49.984+0300][2,731s][info ][gc] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 614M->5M(1024M) 1,339ms
[2025-05-08T19:11:50.254+0300][3,000s][info ][gc] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 614M->4M(1024M) 1,009ms
[2025-05-08T19:11:50.529+0300][3,276s][info ][gc] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,688ms
[2025-05-08T19:11:50.821+0300][3,568s][info ][gc] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 614M->5M(1024M) 1,006ms
[2025-05-08T19:11:51.110+0300][3,857s][info ][gc] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 614M->3M(1024M) 0,727ms
[2025-05-08T19:11:51.403+0300][4,150s][info ][gc] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 614M->5M(1024M) 2,342ms
[2025-05-08T19:11:51.711+0300][4,458s][info ][gc] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 616M->4M(1024M) 0,748ms
[2025-05-08T19:11:52.018+0300][4,765s][info ][gc] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 616M->3M(1024M) 0,735ms
[2025-05-08T19:11:52.344+0300][5,091s][info ][gc] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 616M->6M(1024M) 1,353ms
[2025-05-08T19:11:52.656+0300][5,402s][info ][gc] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 616M->4M(1024M) 1,103ms
[2025-05-08T19:11:52.969+0300][5,716s][info ][gc] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 616M->3M(1024M) 0,799ms
[2025-05-08T19:11:53.281+0300][6,027s][info ][gc] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 616M->5M(1024M) 1,273ms
